Sentiment,Text,Clean_Text,Predicted_Sentiment
Negative,مين معو دوا للصراصير جد لازمهم رش مبيد حشري للقضاء على هيك حالات متخلفه,مين معو دوا للصراصير جد لازمهم رش مبيد حشري للقضاء على هيك حالات متخلفه,Negative
Negative,مين هاي الي بصوره وئدامها كورس,مين هاي الي بصوره وئدامها كورس,Negative
Negative,ن مقابله جلاله الملك عبدالله مع قناه سي بي اس الاميركيه . يؤرقني تامين فرص الحياه الكريمه لشباب الاردن و لن نسمح للارهاب بالعبث في الاردن,ن مقابله جلاله الملك عبدالله مع قناه سي بي اس الاميركيه  يؤرقني تامين فرص الحياه الكريمه لشباب الاردن و لن نسمح للارهاب بالعبث في الاردن,Negative
Negative,نادرا ما بتصير لو انه الشعب بتطور وبيتعلم مع الوقت,نادرا ما بتصير لو انه الشعب بتطور وبيتعلم مع الوقت,Negative
Negative,نار جهنم تاخدو,نار جهنم تاخدو,Negative
Negative,ناس تبي تتمصخر ماتدري شلون,ناس تبي تتمصخر ماتدري شلون,Negative
Positive,ناس عزيزه المعزه لهم غير فيهم صفات الصالحين العليه,ناس عزيزه المعزه لهم غير فيهم صفات الصالحين العليه,Positive
Negative,ناس مطفره من الاخر,ناس مطفره من الاخر,Negative
Negative,ناقص و كذاب وما في مصداقيه,ناقص و كذاب وما في مصداقيه,Negative
Negative,نت عايش خارج البلد عموما ان كان نقاشك فرد عضلات مافيه داعي اكمل حواري معك ,نت عايش خارج البلد عموما ان كان نقاشك فرد عضلات مافيه داعي اكمل حواري معك,Negative
Negative,نتفق معك في ان الرجال يعرفون بالحق ولا يعرف الحق بالرجال,نتفق معك في ان الرجال يعرفون بالحق ولا يعرف الحق بالرجال,Negative
Positive,نجدد قلبنا بالايمان مع بعض,نجدد قلبنا بالايمان مع بعض,Positive
Negative,نحن بنتهاوش مع الكتب,نحن بنتهاوش مع الكتب,Negative
Negative,نحن في الاردن نشاطر اخواننا في السعوديه احزانهم بوفاه الامير  سعود الفيصل وزير الخارجيه السعودي السابق انا لله وانا اليه راجعون,نحن في الاردن نشاطر اخواننا في السعوديه احزانهم بوفاه الامير  سعود الفيصل وزير الخارجيه السعودي السابق انا لله وانا اليه راجعون,Negative
Negative,نحن في زمن يهان فيه المرء ويكرم فيه الكلب,نحن في زمن يهان فيه المرء ويكرم فيه الكلب,Negative
Negative,نحن ما بدنا اياه لانا ما منفهم المفاعل النووي فوق طاقتنا صعب علينا بكره بذكركم سالوا الباص السريع الثقه معدومه القمح فاسد المصفاه مش حسب المواصفات الخضار الفواكه مواد كيماويه شوارع مش مصانه حفر مطبات الخ الافضل استغلال الطاقه الشمسيه او الريح او الماء ليس هروب من التطور انما الابتعاد عن الفشل الاكيد عبر التجارب,نحن ما بدنا اياه لانا ما منفهم المفاعل النووي فوق طاقتنا صعب علينا بكره بذكركم سالوا الباص السريع الثقه معدومه القمح فاسد المصفاه مش حسب المواصفات الخضار الفواكه مواد كيماويه شوارع مش مصانه حفر مطبات الخ الافضل استغلال الطاقه الشمسيه او الريح او الماء ليس هروب من التطور انما الابتعاد عن الفشل الاكيد عبر التجارب,Negative
Positive,نحن نحبك في الله ندعو لك بظهر الغيب,نحن نحبك في الله ندعو لك بظهر الغيب,Positive
Negative,نحن نرفض المفاعل النووي,نحن نرفض المفاعل النووي,Negative
Positive,نرجو من الله ان يتقبل صلاتنا رغم ما تمر به بلدنا من ازمه صار الواحد خايف على نفسه مستعجل بصلاته انا كلما صليت اعتبرها صلاه مودع فيخشع قلبي تدمع عيناي,نرجو من الله ان يتقبل صلاتنا رغم ما تمر به بلدنا من ازمه صار الواحد خايف على نفسه مستعجل بصلاته انا كلما صليت اعتبرها صلاه مودع فيخشع قلبي تدمع عيناي,Positive
Positive,نسال الله العفو العافيه,نسال الله العفو العافيه,Positive
Positive,نسال الله تعالى ان تكون بحق ارحنا بها يا بلال ليس ارحنا منه,نسال الله تعالى ان تكون بحق ارحنا بها يا بلال ليس ارحنا منه,Positive
Positive,نسعى بكل همه وجهد للحصول على مصادر طاقه رخيصه تعزز من اقتصاد الاردن كون الطاقه تشكل ربع موازنه الدوله,نسعى بكل همه وجهد للحصول على مصادر طاقه رخيصه تعزز من اقتصاد الاردن كون الطاقه تشكل ربع موازنه الدوله,Positive
Positive,نسمات انتعاش الفجر رحمات يظفر بها اهل النور التام الذين توسعت صدورهم بانشراح جماعه الفجر حيويه صبح يتنفس منتشيا مرحبا بكل مبادر للخير,نسمات انتعاش الفجر رحمات يظفر بها اهل النور التام الذين توسعت صدورهم بانشراح جماعه الفجر حيويه صبح يتنفس منتشيا مرحبا بكل مبادر للخير,Negative
Negative,نسيانك صعب اكيد,نسيانك صعب اكيد,Negative
Negative,نشاطر اخوتنا في الاردن احزانهم على الاغتيال الوحشي للطيار  معاذ_الكساسبه داعين الله ان يكون من الشهداء و ان يسكنه فسيح جناته ,نشاطر اخوتنا في الاردن احزانهم على الاغتيال الوحشي للطيار  معاذالكساسبه داعين الله ان يكون من الشهداء و ان يسكنه فسيح جناته,Negative
Negative,نظام اقتصاد الاردن فقط لا يتبع اي نظام اقتصادي موضوع، لا اشتراكي ولا راسمالي ولا اسلامي ولا مختلط.,نظام اقتصاد الاردن فقط لا يتبع اي نظام اقتصادي موضوع، لا اشتراكي ولا راسمالي ولا اسلامي ولا مختلط,Negative
Positive,نعم احسنت واجبه على كل مسلم وحق لكل مسلم فتح الله عليكم,نعم احسنت واجبه على كل مسلم وحق لكل مسلم فتح الله عليكم,Positive
Negative,نعم اردنا غير قابل للتلاعب بارواح ابناءه,نعم اردنا غير قابل للتلاعب بارواح ابناءه,Positive
Positive,نعم الاخ و الصديق اخلاقك تدرس,نعم الاخ و الصديق اخلاقك تدرس,Positive
Positive,نعم الاخ وما اطيب قلبه,نعم الاخ وما اطيب قلبه,Positive
Positive,نعم الصديق الوفى,نعم الصديق الوفى,Positive
Positive,نعم الله علي اكثر من ان احصيها الهدايه ، الصحه، سلامهالقلب، ذكاء العقل، صفاء المشاعر ، سلامهالحواس، حفظ الاحباب اللهم لك الحمد,نعم الله علي اكثر من ان احصيها الهدايه ، الصحه، سلامهالقلب، ذكاء العقل، صفاء المشاعر ، سلامهالحواس، حفظ الاحباب اللهم لك الحمد,Positive
Positive,نعم الوقت يمر بسرعه,نعم الوقت يمر بسرعه,Positive
Positive,نعم فى البدايه كلهم اروع من الروعه,نعم فى البدايه كلهم اروع من الروعه,Positive
Positive,نعم لنجعل حب الله هو الغايه وربنا يسامح كل تائب,نعم لنجعل حب الله هو الغايه وربنا يسامح كل تائب,Positive
Negative,نعم مصر عايزه راجل مش واحد وسخ بيقرف,نعم مصر عايزه راجل مش واحد وسخ بيقرف,Negative
Positive,نعم والحمد لله,نعم والحمد لله,Positive
Positive,نفسي اروح عمره واشوف الكعبه,نفسي اروح عمره واشوف الكعبه,Positive
Negative,نفسي افهم من وين جاي يا ابن الكلب,نفسي افهم من وين جاي يا ابن الكلب,Negative
Negative,نفسي يوم اكل وانا مش مستعجله,نفسي يوم اكل وانا مش مستعجله,Negative
Positive,نفع الله بك يا دكتور,نفع الله بك يا دكتور,Positive
Negative,نقطه النهايه وداعا,نقطه النهايه وداعا,Negative
Negative,نهارك اسود,نهارك اسود,Negative
Positive,نهارك طيب مبروك,نهارك طيب مبروك,Positive
Negative,نهايه مواطن طفران,نهايه مواطن طفران,Negative
Negative,نيله تنيلكم من وين جايبين هالحثانه,نيله تنيلكم من وين جايبين هالحثانه,Negative
Negative,هات ناس تفهم والمثل بحكي اسال مجرب ولا تسال خبيير,هات ناس تفهم والمثل بحكي اسال مجرب ولا تسال خبيير,Negative
Negative,هاد برنامج وسوبر ستار بنامج شوف البريطان شو بعملو فعلن سوبر الهبل,هاد برنامج وسوبر ستار بنامج شوف البريطان شو بعملو فعلن سوبر الهبل,Negative
Negative,هاد كلو كزب ياهبله والله,هاد كلو كزب ياهبله والله,Negative
Positive,هادي الاخوه الصادقه,هادي الاخوه الصادقه,Positive
Negative,هاض بعرفو بس مقرف,هاض بعرفو بس مقرف,Negative
Negative,هاض بني ادم حقير,هاض بني ادم حقير,Negative
Positive,هاكدا هو دين المحبه الصحيح بس للاسف الكثيرين يتبنوه حسب ما يشتهون,هاكدا هو دين المحبه الصحيح بس للاسف الكثيرين يتبنوه حسب ما يشتهون,Positive
Negative,هالانسان مجنون لابس بدله رياضه وجاي يغني حتى لو صوتك زين اللبس عدل,هالانسان مجنون لابس بدله رياضه وجاي يغني حتى لو صوتك زين اللبس عدل,Negative
Positive,هاي اخلاق خليلنا الحبيب,هاي اخلاق خليلنا الحبيب,Positive
Negative,هاي نتيجه انه ينحط انسان في موقع مسؤوليه,هاي نتيجه انه ينحط انسان في موقع مسؤوليه,Negative
Negative,هدا ماهو عقل هدا تخلوف,هدا ماهو عقل هدا تخلوف,Negative
Positive,هذا الشخص هو انت يامصطفى,هذا الشخص هو انت يامصطفى,Positive
Negative,هذا اللى فالحين فيه العرب فقط الهبل التخلف,هذا اللى فالحين فيه العرب فقط الهبل التخلف,Negative
Negative,هذا اللي انت فالح فيه بس كيف تختار ضحاياك بالسرق جعل العاهه تصيبك ولاعاد تطيب منها ياولد الحرام,هذا اللي انت فالح فيه بس كيف تختار ضحاياك بالسرق جعل العاهه تصيبك ولاعاد تطيب منها ياولد الحرام,Negative
Negative,هذا اللي بالنص من لجنه الحكم مفكر نفسو وديع الصافي هو شقفه علاك,هذا اللي بالنص من لجنه الحكم مفكر نفسو وديع الصافي هو شقفه علاك,Negative
Negative,هذا انا واغني وانا بالحمام وانتوا بكرامه صوتي احلا من العاهات هذيل,هذا انا واغني وانا بالحمام وانتوا بكرامه صوتي احلا من العاهات هذيل,Negative
Negative,هذا تشهير ملعون والدين المفروض ما يعرضونه,هذا تشهير ملعون والدين المفروض ما يعرضونه,Negative
Positive,هذا سلامي يسبق البرق الطير فيه الحروف معطره بالتحيه,هذا سلامي يسبق البرق الطير فيه الحروف معطره بالتحيه,Positive
Negative,هذا صدق ولا مجنون ولا يستهبل وش القصه,هذا صدق ولا مجنون ولا يستهبل وش القصه,Negative
Negative,هذا عدا عن عنصريتكم البغيضه وجلافتكم وعنجهيتكم الفارغه مع بقيه الشعوب,هذا عدا عن عنصريتكم البغيضه وجلافتكم وعنجهيتكم الفارغه مع بقيه الشعوب,Negative
Negative,هذا لا يعني خلوها من الاشكال المصديه,هذا لا يعني خلوها من الاشكال المصديه,Negative
Negative,هذا ليس مضحك بل مخزى يا للخزى العار,هذا ليس مضحك بل مخزى يا للخزى العار,Negative
Negative,هذا معوق جنه جورج وسوف,هذا معوق جنه جورج وسوف,Negative
Positive,هذا هو الحب الاصيل الوفي بكل معنى الوفاء,هذا هو الحب الاصيل الوفي بكل معنى الوفاء,Positive
Positive,هذا هو الدين,هذا هو الدين,Positive
Positive,هذا هو المهم,هذا هو المهم,Positive
Negative,هذا واحد واطي ميمثل غير نفسه ,هذا واحد واطي ميمثل غير نفسه,Negative
Negative,هذه البرامج اللي تخلف العاهات للفن الهابط فن اليومين هذا,هذه البرامج اللي تخلف العاهات للفن الهابط فن اليومين هذا,Negative
Positive,هذه جزاء كل من يتطاول على رجال هذه الوطن العزيز,هذه جزاء كل من يتطاول على رجال هذه الوطن العزيز,Negative
Negative,هذه رويدا عطيه يا الخبوول,هذه رويدا عطيه يا الخبوول,Negative
Negative,هذه مشكله الذي يغني كثيرا في الحمام ويتصور انه اصبح مطرب,هذه مشكله الذي يغني كثيرا في الحمام ويتصور انه اصبح مطرب,Negative
Positive,هذه من اقوال الرفيق المناضل,هذه من اقوال الرفيق المناضل,Positive
Negative,هذول مجانين اكيد ما بوافق مش هبله انا,هذول مجانين اكيد ما بوافق مش هبله انا,Negative
Negative,هذول مخانيث,هذول مخانيث,Negative
Negative,هذول مساجين ولا ايش,هذول مساجين ولا ايش,Negative
Negative,هع بدها بس تعلق التعليقات الزنخه,هع بدها بس تعلق التعليقات الزنخه,Negative
Negative,هع مش حلو,هع مش حلو,Negative
Positive,هكذا المسلمون,هكذا المسلمون,Positive
Negative,هل الثقه بالمشتركين الزياده لدرجه العمى او ان محيطهم يجاملهم بجمال صوتهم,هل الثقه بالمشتركين الزياده لدرجه العمى او ان محيطهم يجاملهم بجمال صوتهم,Negative
Positive,هل تعلم ان المطر يتشكل اولا على هيئه بلورات ثلج داخل الغيوم يتحول الى قطرات ماء بعد ذوبانه هو في طريقه الى اليابسه,هل تعلم ان المطر يتشكل اولا على هيئه بلورات ثلج داخل الغيوم يتحول الى قطرات ماء بعد ذوبانه هو في طريقه الى اليابسه,Positive
Negative,هل كلها صالحه للاستعمال ولا من اول استخدام تنفجر,هل كلها صالحه للاستعمال ولا من اول استخدام تنفجر,Negative
Negative,هلا كففت عن قسوتك,هلا كففت عن قسوتك,Negative
Negative,هم اللي مصخرو انفسهم,هم اللي مصخرو انفسهم,Negative
Negative,هما بس الى بيسعوا للغناء ده طبعا غير الاشتغالات والافلام الهندى الى نحن شفنها,هما بس الى بيسعوا للغناء ده طبعا غير الاشتغالات والافلام الهندى الى نحن شفنها,Negative
Negative,هنا نجد اصحاب السوء يحضرون بقوه لان ها هولاء لم يحظروالى بعد تشجيع من اناس حولهم,هنا نجد اصحاب السوء يحضرون بقوه لان ها هولاء لم يحظروالى بعد تشجيع من اناس حولهم,Negative
Negative,هههه انا من ناحيتي هاظ الانسان الي قاعد بلنص اقرف واحد,هههه انا من ناحيتي هاظ الانسان الي قاعد بلنص اقرف واحد,Negative
Negative,هو بن وسخه ادمان وبالذات لو متابع اخبار وحاجات يوميه,هو بن وسخه ادمان وبالذات لو متابع اخبار وحاجات يوميه,Negative
Positive,هو رحيم بكل شىء في الكون هو الخالق فلابد ان يرزق مخلوقاته,هو رحيم بكل شىء في الكون هو الخالق فلابد ان يرزق مخلوقاته,Positive
Negative,هو فى حد اساسا لسه بيتابع البت دي هاي عنجد بتقرف,هو فى حد اساسا لسه بيتابع البت دي هاي عنجد بتقرف,Negative
Negative,هو نحن خلينا نخلص ام هالبرجين الللي صرلهم 16 سنه بعدين بنفكر نعمل نووي سلمي من الديسي,هو نحن خلينا نخلص ام هالبرجين الللي صرلهم  سنه بعدين بنفكر نعمل نووي سلمي من الديسي,Negative
Negative,هو هذا اسلامك يا زاني,هو هذا اسلامك يا زاني,Negative
Negative,هؤلاء معوقين,هؤلاء معوقين,Negative
Negative,هي عندها صوت قوي بس للاسف الحين مثل غيرها,هي عندها صوت قوي بس للاسف الحين مثل غيرها,Negative
Negative,هي فلسطين راحت من قليل يا ولاد المخنثه لعنه الله عليكم فظحتونا,هي فلسطين راحت من قليل يا ولاد المخنثه لعنه الله عليكم فظحتونا,Negative
Negative,هيك بدهم الخونه اتباع ايران الاخوان المفسدون,هيك بدهم الخونه اتباع ايران الاخوان المفسدون,Negative
Negative,و اذا فادنا بشي رح يكون في خساره كبيره بالاخر,و اذا فادنا بشي رح يكون في خساره كبيره بالاخر,Negative
Negative,و الناس يدرون شو بقول عنهم في نفسي وهم يتكلمون ما يكلمني حدا نهائي,و الناس يدرون شو بقول عنهم في نفسي وهم يتكلمون ما يكلمني حدا نهائي,Negative
Negative,و الى اسماء الاسد كـــس اخـــت زوجـــك :,و الى اسماء الاسد كس اخت زوجك,Negative
Positive,و بحب الناس الرايقه الي بتضحك على طول,و بحب الناس الرايقه الي بتضحك على طول,Negative
Positive,و تربت على كتوفنا تشحننا بالتفاؤل ايضا صباحك اسعد,و تربت على كتوفنا تشحننا بالتفاؤل ايضا صباحك اسعد,Positive
Positive,و ما من دابه في الارض لا طائر يطير بجناحيه الا على الله رزقه,و ما من دابه في الارض لا طائر يطير بجناحيه الا على الله رزقه,Positive
Positive,و مفيش احلى من قضاء ربنا,و مفيش احلى من قضاء ربنا,Positive
Positive,و نرجو لك دوام الخير المحبه من الله من الناس,و نرجو لك دوام الخير المحبه من الله من الناس,Positive
Negative,و هكذا جنت على نفسها براقش,و هكذا جنت على نفسها براقش,Negative
Positive,و يرزقكم من حيث لا تعلمون,و يرزقكم من حيث لا تعلمون,Positive
Negative,واثق من نفسه الحبيب,واثق من نفسه الحبيب,Negative
Negative,واحد هامل,واحد هامل,Negative
Negative,واحد واطي,واحد واطي,Negative
Negative,وادم علينا يارب نعمه الامن والامان وسائر بلاد المسلمين,وادم علينا يارب نعمه الامن والامان وسائر بلاد المسلمين,Positive
Positive,واذكر ربك اذا نسيت وقل عسى ان يهدينى ربى لاقرب من هذا رشدا,واذكر ربك اذا نسيت وقل عسى ان يهدينى ربى لاقرب من هذا رشدا,Positive
Positive,واسال الله من اثواب رحمته سترا جميلا على الزلات مشتملا وان ييسر لي سعيا اكون به مستبشرا جذلا لا باسرا وجلا *,واسال الله من اثواب رحمته سترا جميلا على الزلات مشتملا وان ييسر لي سعيا اكون به مستبشرا جذلا لا باسرا وجلا,Positive
Negative,واضح جدا ان اغلب الناس هاي عندها مشاكل نفسيه,واضح جدا ان اغلب الناس هاي عندها مشاكل نفسيه,Negative
Negative,واطي وماجور وسافل ومنحط وكريه وغبي وسطحي وحقو قرش مصدي وبيسوى صرمايه,واطي وماجور وسافل ومنحط وكريه وغبي وسطحي وحقو قرش مصدي وبيسوى صرمايه,Negative
Positive,واعظمها امه سيدنا محمد,واعظمها امه سيدنا محمد,Positive
Positive,والحاجه الي انت بتحبها دي هي مش اكتر من حاجه زينها الشيطان واقنعك بحلاوتها بس هتندم بعدين,والحاجه الي انت بتحبها دي هي مش اكتر من حاجه زينها الشيطان واقنعك بحلاوتها بس هتندم بعدين,Negative
Negative,والشرهه على الاغبياء اللي معطينك لايك,والشرهه على الاغبياء اللي معطينك لايك,Negative
Positive,والشكرلله والفضل لله على هذه النعمه التي انعم الله علينا بها وجعلنا من الماء كل شي حي,والشكرلله والفضل لله على هذه النعمه التي انعم الله علينا بها وجعلنا من الماء كل شي حي,Positive
Negative,والغناء تجد لك ??? مليون وكلهم زباله,والغناء تجد لك  مليون وكلهم زباله,Negative
Negative,والله احلا شيء انه الواحد يهاجر او يشتغل حرامي عشان يقدر يعيش الله لا يوفق الي كان السبب الله حرام,والله احلا شيء انه الواحد يهاجر او يشتغل حرامي عشان يقدر يعيش الله لا يوفق الي كان السبب الله حرام,Negative
Negative,والله الحياه كلها بتخزي بدونكم,والله الحياه كلها بتخزي بدونكم,Negative
Positive,والله الرساله دي جاتلي في وقتها قولت اكيد ربنا بعتهالي الحمد لله وخات القرار,والله الرساله دي جاتلي في وقتها قولت اكيد ربنا بعتهالي الحمد لله وخات القرار,Positive
Negative,والله الناس دي ما شايله هم ابدا علشان كده مسخرو نفسهم او كرامتهم راحت,والله الناس دي ما شايله هم ابدا علشان كده مسخرو نفسهم او كرامتهم راحت,Negative
Positive,والله الواحد بيدعي كثيرا ان ربنا يجعلنا في طريق مستقيم,والله الواحد بيدعي كثيرا ان ربنا يجعلنا في طريق مستقيم,Positive
Negative,والله انا خايف انو طخوا بعد هاي الصوره,والله انا خايف انو طخوا بعد هاي الصوره,Negative
Negative,والله انك فشلت العرب,والله انك فشلت العرب,Negative
Negative,والله انك ما زليه يا شيخ اكيد مدفوعله من تحت تحت,والله انك ما زليه يا شيخ اكيد مدفوعله من تحت تحت,Negative
Negative,والله انك مسخره يا عجوز,والله انك مسخره يا عجوز,Negative
Negative,والله انك مهزله,والله انك مهزله,Negative
Negative,والله انكو ما بتخافوالله,والله انكو ما بتخافوالله,Negative
Negative,والله انو مكب نفايات نوويه انا اشتغلت بالمفاعل موقعه بعلان بالسلط,والله انو مكب نفايات نوويه انا اشتغلت بالمفاعل موقعه بعلان بالسلط,Negative
Negative,والله انو نذل,والله انو نذل,Negative
Negative,والله اول واحد سمعته منهم احسب سماعتي خربا يا بطني من الضحك والله زاحفين,والله اول واحد سمعته منهم احسب سماعتي خربا يا بطني من الضحك والله زاحفين,Negative
Negative,والله ايلى اختشه ماتوا,والله ايلى اختشه ماتوا,Negative
Positive,والله بذل نفسي مره اثنين خمسين عشان الغرام الحلال احلى لكن مين يحس يفهم يقدر,والله بذل نفسي مره اثنين خمسين عشان الغرام الحلال احلى لكن مين يحس يفهم يقدر,Positive
Negative,والله تحشيش من الاخر,والله تحشيش من الاخر,Negative
Positive,والله ثقف نفسك ده بيقول كلام زى الفل,والله ثقف نفسك ده بيقول كلام زى الفل,Positive
Negative,والله حرام الناس مش لاقيه توكل حتى ترفعو البنزين,والله حرام الناس مش لاقيه توكل حتى ترفعو البنزين,Negative
Negative,والله حرام تكاليف زواج ومهر واخرتها طلاق بسبب شي تافهه,والله حرام تكاليف زواج ومهر واخرتها طلاق بسبب شي تافهه,Negative
Negative,والله حرام والله موتوه لشعب الاردني من وين بدنا نجيب الكو من وين يا الله ارحمو من في الارض يرحمكم من في السماء الله حرام,والله حرام والله موتوه لشعب الاردني من وين بدنا نجيب الكو من وين يا الله ارحمو من في الارض يرحمكم من في السماء الله حرام,Negative
Negative,والله حرام يعني ما يدرون انهم مصخره,والله حرام يعني ما يدرون انهم مصخره,Negative
Negative,والله حرق لاخوات الكلب,والله حرق لاخوات الكلب,Negative
Positive,والله رفعتوا راسنا يا شباب الله يقويكم,والله رفعتوا راسنا يا شباب الله يقويكم,Positive
Negative,والله شككني في البرنامج انه سوبر ستار او برنامج كوميدي,والله شككني في البرنامج انه سوبر ستار او برنامج كوميدي,Negative
Negative,والله شوي وتجيني جلطه لما ماطلعت الاولى ذيك المره,والله شوي وتجيني جلطه لما ماطلعت الاولى ذيك المره,Negative
Negative,والله شويه عبط الي بيغنو والحكام كمان,والله شويه عبط الي بيغنو والحكام كمان,Negative
Negative,والله ظلموه لجنه الطراطير,والله ظلموه لجنه الطراطير,Negative
Negative,والله عاهات,والله عاهات,Negative
Negative,والله على بالي مجنون,والله على بالي مجنون,Negative
Negative,والله عيب بهدلتو حالكم,والله عيب بهدلتو حالكم,Negative
Positive,والله قررات من دلواتى يا مصطفى بس انا عاز رايك فى حاجات كتير,والله قررات من دلواتى يا مصطفى بس انا عاز رايك فى حاجات كتير,Positive
Negative,والله كذب من سوبر ستار القذر هذا,والله كذب من سوبر ستار القذر هذا,Negative
Negative,والله لو انه فايز بعرب ايدول او من هل برامج الفارطه غير تلاقي اضعاف هذا العدد ياعمي شعب بحب السح اندح,والله لو انه فايز بعرب ايدول او من هل برامج الفارطه غير تلاقي اضعاف هذا العدد ياعمي شعب بحب السح اندح,Negative
Negative,والله لو طلبوا مين اللي عندو قلب قوي ??? متر للجري مايتقدم ولا حمار عربي,والله لو طلبوا مين اللي عندو قلب قوي  متر للجري مايتقدم ولا حمار عربي,Negative
Negative,والله لو يجمعونهم على شاطئ البحر الميت ويخلونهم يصرخون على اليهود ولمده 30 ثانيه ليهربون لقبرص عن طريق البحر سباحه,والله لو يجمعونهم على شاطئ البحر الميت ويخلونهم يصرخون على اليهود ولمده  ثانيه ليهربون لقبرص عن طريق البحر سباحه,Negative
Negative,والله ما في اشي مزعلني الا انه اسمه محمد,والله ما في اشي مزعلني الا انه اسمه محمد,Negative
Negative,والله ما يحرر عزبت بنقاليه,والله ما يحرر عزبت بنقاليه,Negative
Negative,والله مش طبيعي حرام الله غير تنتشر السرقه النهب خرب الامان النشور,والله مش طبيعي حرام الله غير تنتشر السرقه النهب خرب الامان النشور,Negative
Negative,والله مش عارفه شو بدنا نسوي نشحد مثلا,والله مش عارفه شو بدنا نسوي نشحد مثلا,Negative
Negative,والله نحن مو ناقصنا وجع قلب بس ضايل علينا النووي و صحه البشر مش برضو خطيه المسؤولين ? خلص ما عاد في شي فارق والله عحب,والله نحن مو ناقصنا وجع قلب بس ضايل علينا النووي و صحه البشر مش برضو خطيه المسؤولين  خلص ما عاد في شي فارق والله عحب,Negative
Positive,والله نفسى بس الواحد بيجى عليه فترات ينسى يعمل ايه بجد,والله نفسى بس الواحد بيجى عليه فترات ينسى يعمل ايه بجد,Positive
Negative,والله نوفي صح لسانك,والله نوفي صح لسانك,Negative
Negative,والله هبل في هبل,والله هبل في هبل,Negative
Positive,والله هذا الى حصل معانا ومع ناس كثيره بدل حب الحرام بحب الحلال يبدل الله كيانك,والله هذا الى حصل معانا ومع ناس كثيره بدل حب الحرام بحب الحلال يبدل الله كيانك,Positive
Negative,والمصحف عاهات,والمصحف عاهات,Negative
Positive,والنعم والاخلاق والنعم والصداقه والنعم الاخوه,والنعم والاخلاق والنعم والصداقه والنعم الاخوه,Positive
Positive,وان مدحتك بالقصائد ماوفيت,وان مدحتك بالقصائد ماوفيت,Positive
Negative,وانا 100% بس شكلها هاي مو مدرسه,وانا  بس شكلها هاي مو مدرسه,Negative
Negative,وانا مع انو الطاقه الشمسيه هي البديل,وانا مع انو الطاقه الشمسيه هي البديل,Negative
Positive,وانا من الناس اللي فعلا محتاجين يحاسبوا نفسهم ويصلحو من نفسهم لاننا عارفين انه لا ملجا لنا الا لله,وانا من الناس اللي فعلا محتاجين يحاسبوا نفسهم ويصلحو من نفسهم لاننا عارفين انه لا ملجا لنا الا لله,Positive
Negative,وانت اسكت لا تتحطم,وانت اسكت لا تتحطم,Negative
Negative,واي ناس فاظيين صج عاهات,واي ناس فاظيين صج عاهات,Negative
Negative,وبعدين تري مالقت دعم,وبعدين تري مالقت دعم,Negative
Negative,وبكل تبلد اعترف لكم  باني اقل نساء الارض صبرا,وبكل تبلد اعترف لكم  باني اقل نساء الارض صبرا,Negative
Negative,وجعتو راسي,وجعتو راسي,Negative
Positive,وجعلنا من الماء كل شيء حي,وجعلنا من الماء كل شيء حي,Positive
Negative,وجه الفطيره قبل تعيب الناس انظر الى حالك,وجه الفطيره قبل تعيب الناس انظر الى حالك,Negative
Positive,وجه حسن وضحكه تفتح النفس وعيون خلابه,وجه حسن وضحكه تفتح النفس وعيون خلابه,Positive
Negative,وجهك مش الك,وجهك مش الك,Negative
Negative,ودي اكسر الابتوب على راسه,ودي اكسر الابتوب على راسه,Negative
Negative,وذلك ليذوقوا ايران وسوريا وشيعتهم وبال امرهم,وذلك ليذوقوا ايران وسوريا وشيعتهم وبال امرهم,Negative
Negative,وربي عاهات مستعصيه,وربي عاهات مستعصيه,Negative
Negative,وربي كلبتي جات جلست عندي اول ما فتحت هالفيديو ويوم خلص التفت لها الا والاقيها نايمه,وربي كلبتي جات جلست عندي اول ما فتحت هالفيديو ويوم خلص التفت لها الا والاقيها نايمه,Negative
Negative,وزير التعليم العالي: لا زياده للدعم المالي للجامعات خلال السنوات الثلاث المقبله,وزير التعليم العالي لا زياده للدعم المالي للجامعات خلال السنوات الثلاث المقبله,Negative
Negative,وسبب برفعه ضغطك,وسبب برفعه ضغطك,Negative
Negative,وسدئيني انكووو كلاب,وسدئيني انكووو كلاب,Negative
Negative,وش التخلف هذا,وش التخلف هذا,Negative
Negative,وش جابني هنا ثقيلين دم,وش جابني هنا ثقيلين دم,Negative
Negative,وش فيك معصب خلاص بعطيك اللايك الي جاني خخخ,وش فيك معصب خلاص بعطيك اللايك الي جاني خخخ,Negative
Negative,وش هالتحف والله مساكين ماكلين مقلب بقوه,وش هالتحف والله مساكين ماكلين مقلب بقوه,Negative
Negative,وش يحسون فيه يع,وش يحسون فيه يع,Negative
Negative,وش يحسووون فيه ناس مهبل,وش يحسووون فيه ناس مهبل,Negative
Positive,وعجلت اليك ربي لترضي : كن كالمطر، اذا اقبل استبشر الناس به واذا حط نفعهم ، واذا رحل ترك اثرا نافعا فيهم واذا غاب اشتاقوا اليه .,وعجلت اليك ربي لترضي  كن كالمطر، اذا اقبل استبشر الناس به واذا حط نفعهم ، واذا رحل ترك اثرا نافعا فيهم واذا غاب اشتاقوا اليه,Positive
Negative,وعرض اختي انك لاسع يادمن عساس لو بدها تضرب من هسه خايفه منك,وعرض اختي انك لاسع يادمن عساس لو بدها تضرب من هسه خايفه منك,Negative
